,DATE,CP0000EZ19M086NEST
0,1996-01-01,70.4
1,1996-02-01,70.71
2,1996-03-01,71.01
3,1996-04-01,71.14
4,1996-05-01,71.32
5,1996-06-01,71.33
6,1996-07-01,71.31
7,1996-08-01,71.27
8,1996-09-01,71.44
9,1996-10-01,71.52
10,1996-11-01,71.53
11,1996-12-01,71.73
12,1997-01-01,71.95
13,1997-02-01,72.11
14,1997-03-01,72.2
15,1997-04-01,72.18
16,1997-05-01,72.38
17,1997-06-01,72.41
18,1997-07-01,72.46
19,1997-08-01,72.58
20,1997-09-01,72.65
21,1997-10-01,72.69
22,1997-11-01,72.79
23,1997-12-01,72.88
24,1998-01-01,72.82
25,1998-02-01,73.0
26,1998-03-01,73.1
27,1998-04-01,73.28
28,1998-05-01,73.43
29,1998-06-01,73.47
30,1998-07-01,73.47
31,1998-08-01,73.49
32,1998-09-01,73.47
33,1998-10-01,73.45
34,1998-11-01,73.45
35,1998-12-01,73.49
36,1999-01-01,73.44
37,1999-02-01,73.61
38,1999-03-01,73.85
39,1999-04-01,74.11
40,1999-05-01,74.16
41,1999-06-01,74.16
42,1999-07-01,74.26
43,1999-08-01,74.35
44,1999-09-01,74.43
45,1999-10-01,74.47
46,1999-11-01,74.57
47,1999-12-01,74.83
48,2000-01-01,74.86
49,2000-02-01,75.1
50,2000-03-01,75.37
51,2000-04-01,75.45
52,2000-05-01,75.54
53,2000-06-01,75.8
54,2000-07-01,75.87
55,2000-08-01,75.93
56,2000-09-01,76.26
57,2000-10-01,76.3
58,2000-11-01,76.46
59,2000-12-01,76.75
60,2001-01-01,76.43
61,2001-02-01,76.66
62,2001-03-01,77.07
63,2001-04-01,77.54
64,2001-05-01,77.9
65,2001-06-01,78.02
66,2001-07-01,77.84
67,2001-08-01,77.78
68,2001-09-01,77.99
69,2001-10-01,78.06
70,2001-11-01,78.01
71,2001-12-01,78.36
72,2002-01-01,78.45
73,2002-02-01,78.58
74,2002-03-01,79.02
75,2002-04-01,79.38
76,2002-05-01,79.52
77,2002-06-01,79.49
