,date,time_per,MRO
1,1/1/1999,1-Jan-99,3
2,1/2/1999,2-Jan-99,3
3,1/3/1999,3-Jan-99,3
4,1/4/1999,4-Jan-99,3
5,1/5/1999,5-Jan-99,3
6,1/6/1999,6-Jan-99,3
7,1/7/1999,7-Jan-99,3
8,1/8/1999,8-Jan-99,3
9,1/9/1999,9-Jan-99,3
10,1/10/1999,10-Jan-99,3
11,1/11/1999,11-Jan-99,3
12,1/12/1999,12-Jan-99,3
13,1/13/1999,13-Jan-99,3
14,1/14/1999,14-Jan-99,3
15,1/15/1999,15-Jan-99,3
16,1/16/1999,16-Jan-99,3
17,1/17/1999,17-Jan-99,3
18,1/18/1999,18-Jan-99,3
19,1/19/1999,19-Jan-99,3
20,1/20/1999,20-Jan-99,3
21,1/21/1999,21-Jan-99,3
22,1/22/1999,22-Jan-99,3
23,1/23/1999,23-Jan-99,3
24,1/24/1999,24-Jan-99,3
25,1/25/1999,25-Jan-99,3
26,1/26/1999,26-Jan-99,3
27,1/27/1999,27-Jan-99,3
28,1/28/1999,28-Jan-99,3
29,1/29/1999,29-Jan-99,3
30,1/30/1999,30-Jan-99,3
31,1/31/1999,31-Jan-99,3
32,2/1/1999,1-Feb-99,3
33,2/2/1999,2-Feb-99,3
34,2/3/1999,3-Feb-99,3
35,2/4/1999,4-Feb-99,3
36,2/5/1999,5-Feb-99,3
37,2/6/1999,6-Feb-99,3
38,2/7/1999,7-Feb-99,3
39,2/8/1999,8-Feb-99,3
40,2/9/1999,9-Feb-99,3
41,2/10/1999,10-Feb-99,3
42,2/11/1999,11-Feb-99,3
43,2/12/1999,12-Feb-99,3
44,2/13/1999,13-Feb-99,3
45,2/14/1999,14-Feb-99,3
46,2/15/1999,15-Feb-99,3
47,2/16/1999,16-Feb-99,3
48,2/17/1999,17-Feb-99,3
49,2/18/1999,18-Feb-99,3
50,2/19/1999,19-Feb-99,3
51,2/20/1999,20-Feb-99,3
52,2/21/1999,21-Feb-99,3
53,2/22/1999,22-Feb-99,3
54,2/23/1999,23-Feb-99,3
55,2/24/1999,24-Feb-99,3
56,2/25/1999,25-Feb-99,3
57,2/26/1999,26-Feb-99,3
58,2/27/1999,27-Feb-99,3
59,2/28/1999,28-Feb-99,3
60,3/1/1999,1-Mar-99,3
61,3/2/1999,2-Mar-99,3
62,3/3/1999,3-Mar-99,3
63,3/4/1999,4-Mar-99,3
64,3/5/1999,5-Mar-99,3
65,3/6/1999,6-Mar-99,3
66,3/7/1999,7-Mar-99,3
67,3/8/1999,8-Mar-99,3
68,3/9/1999,9-Mar-99,3
69,3/10/1999,10-Mar-99,3
70,3/11/1999,11-Mar-99,3
71,3/12/1999,12-Mar-99,3
72,3/13/1999,13-Mar-99,3
73,3/14/1999,14-Mar-99,3
74,3/15/1999,15-Mar-99,3
75,3/16/1999,16-Mar-99,3
76,3/17/1999,17-Mar-99,3
77,3/18/1999,18-Mar-99,3
78,3/19/1999,19-Mar-99,3
79,3/20/1999,20-Mar-99,3
80,3/21/1999,21-Mar-99,3
81,3/22/1999,22-Mar-99,3
82,3/23/1999,23-Mar-99,3
83,3/24/1999,24-Mar-99,3
84,3/25/1999,25-Mar-99,3
85,3/26/1999,26-Mar-99,3
86,3/27/1999,27-Mar-99,3
87,3/28/1999,28-Mar-99,3
88,3/29/1999,29-Mar-99,3
89,3/30/1999,30-Mar-99,3
90,3/31/1999,31-Mar-99,3
91,4/1/1999,1-Apr-99,3
92,4/2/1999,2-Apr-99,3
93,4/3/1999,3-Apr-99,3
94,4/4/1999,4-Apr-99,3
95,4/5/1999,5-Apr-99,3
96,4/6/1999,6-Apr-99,3
97,4/7/1999,7-Apr-99,3
